coh_m1,phi_m1,coh_m2,phi_m2,srf,origin
93.435,25.3036,1.07473,34.1283,1.44,validation
93.6455,23.1626,0.808706,36.6386,1.41,validation
100.296,24.7107,0.454331,35.4102,1.47,validation
97.8619,26.7654,0.298624,34.0086,1.49,validation
100.996,26.5365,0.745462,36.0737,1.54,validation
101.947,27.6351,0.585654,35.2329,1.55,validation
97.3441,27.344,0.518602,34.3095,1.51,validation
97.7505,25.9213,0.283627,37.9897,1.55,validation
96.4761,24.5695,1.36538,32.3644,1.39,validation
100.918,23.0335,0.0662709,34.6063,1.4,validation
100.548,21.9919,0.819291,34.6681,1.37,validation
101.424,22.5418,0.603525,36.4294,1.42,validation
97.1915,23.74,0.88861,36.1585,1.45,validation
101.983,23.4757,0.767356,33.8192,1.41,validation
96.5384,26.0585,0.187554,37.6288,1.54,validation
99.5245,25.0698,0.000504993,33.9446,1.45,validation
98.8801,25.7381,0.987169,37.8128,1.54,validation
100.343,24.6279,0.153897,37.0452,1.5,validation
100.904,27.3235,0.311596,32.4656,1.47,validation
101.222,23.1931,0.127033,32.5986,1.37,validation
98.6858,23.9696,0.963805,34.9033,1.43,validation
97.7686,26.0443,0.0526157,36.3937,1.52,validation
97.7748,22.9168,1.2645,36.7386,1.42,validation
98.549,23.6523,0.185486,35.4266,1.43,validation
99.4631,26.1917,0.0691643,32.4073,1.44,validation
91.6248,26.2255,1.88576,34.8213,1.47,validation
101.267,27.4197,0.440154,35.1801,1.54,validation
95.3826,25.8903,0.940233,35.2022,1.48,validation
98.3568,25.8382,1.54722,33.2248,1.45,validation
101.944,26.176,0.9447,36.527,1.54,validation
98.9341,23.9498,0.530669,36.7195,1.46,validation
91.4137,27.0374,0.351776,34.1409,1.46,validation
96.4028,24.0829,0.637061,31.9793,1.37,validation
99.6871,21.8242,1.33894,37.8833,1.38,validation
94.6036,22.1289,0.79586,36.0188,1.37,validation
98.7152,25.3372,0.216443,31.7146,1.4,validation
96.7796,25.4293,0.674374,33.1823,1.43,validation
95.5867,22.353,0.741873,35.0176,1.37,validation
99.9232,26.9337,0.04904,35.4215,1.53,validation
96.352,25.0405,0.431023,34.237,1.44,validation
99.9844,27.2007,1.62511,35.2246,1.54,validation
95.4443,27.7317,0.416973,35.2764,1.53,validation
98.408,27.945,1.35652,33.6214,1.51,validation
97.8145,22.3259,0.268651,37.2124,1.39,validation
101.587,21.1208,1.63347,34.2654,1.34,validation
98.2009,26.1719,0.274761,31.3854,1.41,validation
95.3596,24.0502,1.26834,31.2505,1.36,validation
97.4817,25.1791,0.101353,33.7158,1.42,validation
98.6444,27.6888,0.143217,33.7727,1.51,validation
100.086,24.7295,1.93066,35.4497,1.47,validation
94.7067,25.0761,1.11965,35.083,1.46,validation
101.702,24.3954,0.640973,37.6717,1.5,validation
96.2968,27.0269,0.952983,33.5296,1.48,validation
98.1504,23.7447,0.526827,32.1817,1.37,validation
100.976,23.1209,1.29011,36.6116,1.44,validation
93.6075,26.139,0.297224,36.2662,1.51,validation
100.594,22.8794,0.997794,32.12,1.36,validation
96.8399,23.5874,0.130423,37.2281,1.45,validation
95.0841,22.2903,1.23856,37.0249,1.38,validation
91.873,23.2423,1.24768,32.0847,1.34,validation
96.4454,21.2268,0.51171,32.7954,1.31,validation
101.156,22.4045,0.0174088,33.5199,1.37,validation
101.13,27.1157,0.349302,34.5509,1.52,validation
96.1081,21.9601,0.893579,33.0385,1.33,validation
90.6548,25.3671,0.294316,34.7982,1.44,validation
97.9515,26.6617,1.06683,32.732,1.46,validation
96.6977,22.2053,1.02892,32.0297,1.32,validation
93.574,26.9615,0.936591,33.9991,1.46,validation
90.4102,27.3593,0.144426,35.1273,1.5,validation
97.0317,21.1913,1.44394,37.4543,1.34,validation
101.841,24.7631,0.393376,35.4459,1.47,validation
101.373,27.7579,0.773713,36.0965,1.57,validation
98.1185,23.9243,0.245332,36.1655,1.45,validation
95.1524,26.3834,1.9907,35.1391,1.5,validation
100.65,25.0323,0.257855,34.1544,1.45,validation
100.813,23.1381,1.13032,36.1416,1.44,validation
92.7904,23.6126,0.309734,31.6742,1.34,validation
96.4262,24.6995,0.573351,35.9881,1.47,validation
99.6473,25.7986,1.14234,33.1657,1.45,validation
100.315,24.9086,0.733178,35.4921,1.48,validation
